,Cadastrais - Nome,Cadastrais - Classe - Nome,Cadastrais - Subclasse - Nome,Adicionais - Código de Barras
2987,COB HARALD CONF AO LEITE 1KG,PRODUTOS,PEC - ENGRENAGEM,
2988,COB HARALD CONF MEIO AMARGA 1KG,PRODUTOS,PEC - ENGRENAGEM,
2989,COB HARALD TOP BLEND 1KG,PRODUTOS,PEC - ENGRENAGEM,
2990,COB HARALD TOP BRANCA 1KG,PRODUTOS,PEC - ENGRENAGEM,
2991,"COB HARALD TOP BRANCA 2,3KG",PRODUTOS,PROD - GRANULADOS,7897077803930.0
2992,COB LIMAO FLEISCHMANN  BD 4KG,PRODUTOS,PEC - ENGRENAGEM,
2993,"COB LIQ DUPORTO ACAI 1,3KG",PRODUTOS,PROD - PROD SORVETE,7896395100431.0
2994,"COB LIQ DUPORTO BRIGADEIRO 1,3KG",PRODUTOS,PROD - PROD SORVETE,7896395100523.0
2995,COB LIQ DUPORTO BRIGADEIRO 270G,PRODUTOS,PROD - PROD SORVETE,7896395112137.0
2996,"COB LIQ DUPORTO CARAMELO 1,3KG",PRODUTOS,PROD - COBERTURA LIQUIDA,7896395100042.0
2997,COB LIQ DUPORTO CARAMELO 270 G,PRODUTOS,PROD - PROD SORVETE,7896395109694.0
2998,"COB LIQ DUPORTO CARAMELO SALGADO 1,3KG",PRODUTOS,PROD - PROD SORVETE,27896395112292.0
2999,"COB LIQ DUPORTO CHOCOLATE 1,3KG",PRODUTOS,PROD - COBERTURA LIQUIDA,7896395100066.0
3000,COB LIQ DUPORTO CHOCOLATE 270 G,PRODUTOS,PROD - PROD SORVETE,7896395109700.0
3001,"COB LIQ DUPORTO CHOCOLATE COM AVELA 1,3KG",PRODUTOS,PROD - PROD SORVETE,27896395112483.0
3002,"COB LIQ DUPORTO FLORESTA NEGRA 1,3KG",PRODUTOS,PROD - PROD SORVETE,7896395103159.0
3003,"COB LIQ DUPORTO FRUTAS VERMELHAS 1,3KG",PRODUTOS,PROD - PROD SORVETE,7896395103012.0
3004,"COB LIQ DUPORTO KIWI 1,3KG",PRODUTOS,PROD - PROD SORVETE,7896395100141.0
3005,"COB LIQ DUPORTO LEITE COND 1,3KG",PRODUTOS,PROD - COBERTURA LIQUIDA,7896395100080.0
3006,COB LIQ DUPORTO LEITE COND 270 G,PRODUTOS,PROD - PROD SORVETE,7896395112144.0
3007,"COB LIQ DUPORTO MORANGO 1,3KG",PRODUTOS,PROD - COBERTURA LIQUIDA,7896395100028.0
3008,COB LIQ DUPORTO MORANGO 270 G,PRODUTOS,PROD - PROD SORVETE,7896395109717.0
3009,"COB LIQ MARVI CHOCOLATE 1,3KG",PRODUTOS,PROD - PROD SORVETE,7896068423072.0
3010,"COB LIQ MARVI MORANGO 1,3KG",PRODUTOS,PROD - PROD SORVETE,7896068402206.0
3011,COB LIQ MIX MORANGO 300G,PRODUTOS,PROD - PROD SORVETE,7897011515141.0
3012,"COB LIQ SELECTA CHOCOLATE 1,3KG",PRODUTOS,PROD - PROD SORVETE,7896411800253.0
3013,COB LIQ SELECTA CHOCOLATE 300G,PRODUTOS,PROD - PROD SORVETE,7896411800208.0
3014,"COB LIQ SELECTA MORANGO 1,3KG",PRODUTOS,PROD - PROD SORVETE,7896411800277.0
3015,COB LÍQUIDA  AO LEITE 4Kg,PRODUTOS,PEC - ENGRENAGEM,
3016,COB LÍQUIDA BRANCA 04Kg,PRODUTOS,PEC - ENGRENAGEM,
3017,COB LÍQUIDA MORANGO 4Kg,PRODUTOS,PEC - ENGRENAGEM,
3018,COB MAURI LIMAO C/ RASPAS 4KG (BLD),PRODUTOS,PEC - ENGRENAGEM,
3019,COB MAVALERIO A BASE DE ACUCAR P/ DOCES 500G,PRODUTOS,PEC - ENGRENAGEM,
3020,"COB PRATICA MAVALERIO CHOC AO LEITE  1,01KG",PRODUTOS,PEC - ENGRENAGEM,
3021,COB PRATICA MAVALERIO CHOC BRANCO 1KG,PRODUTOS,PEC - ENGRENAGEM,
3022,COB PRATICA MAVALERIO CHOC MEIO AMARGO 1KG,PRODUTOS,PEC - ENGRENAGEM,
3023,COB PREMIUM MAVALERIO CHOC AO LEITE  1KG,PRODUTOS,PEC - ENGRENAGEM,
3024,COB PREMIUM MAVALERIO CHOC MEIO AMARGO 1KG,PRODUTOS,PEC - ENGRENAGEM,
3025,COB. BARRA BRANCA 05Kg,PRODUTOS,PEC - ENGRENAGEM,
3026,COB. HIDROG AB CHOCO AO LEITE MAVALERIO 1KG,PRODUTOS,PEC - ENGRENAGEM,
3027,COB. HIDROG ABOR CHOCO BRC MAVALERIO 1KG,PRODUTOS,PEC - ENGRENAGEM,
3028,COB. HIDROG SAB CHOCO MEIO AMARGO MAVALERIO 1KG,PRODUTOS,PEC - ENGRENAGEM,
3029,COB. LÍQUIDA ESCURA 04Kg,PRODUTOS,PEC - ENGRENAGEM,
3030,Cob. rech. sabor choc. ao leite 1Kg,PRODUTOS,PEC - ENGRENAGEM,
3031,COB. TRAD. DOCE AO LEITE FRAC. 01Kg,PRODUTOS,PEC - ENGRENAGEM,
3032,COBERT AO LEITE BARRA 01Kg,PRODUTOS,PEC - ENGRENAGEM,
3033,COBERT BRANCA BARRA 01Kg,PRODUTOS,PEC - ENGRENAGEM,
3034,"COBERTURA BAUNILHA 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3035,"COBERTURA CARAMELO 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3036,"COBERTURA CARAMELO 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3037,"Cobertura caramelo Kerry 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3038,"COBERTURA CHOCOLATE 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3039,Cobertura esquimó chocolate 12Kg,PRODUTOS,PEC - ENGRENAGEM,
3040,Cobertura esquimó chocolate 4Kg,PRODUTOS,PEC - ENGRENAGEM,
3041,"Cobertura Kerry kiwi 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3042,"Cobertura Kerry morango 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3043,"COBERTURA KIWI 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3044,"Cobertura L. cond Kerry 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3045,"COBERTURA L. CONDENSADO 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3046,"COBERTURA LEITE COND. 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3047,Cobertura Mix classic ao leite 1Kg,PRODUTOS,PEC - ENGRENAGEM,
3048,Cobertura Mix classic branca 1Kg,PRODUTOS,PEC - ENGRENAGEM,
3049,"COBERTURA MORANGO 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3050,COBERTURA PREMIUM AO LEITE 1Kg,PRODUTOS,PEC - ENGRENAGEM,
3051,COBERTURA PREMIUM BRANCA 01Kg,PRODUTOS,PEC - ENGRENAGEM,
3052,"COBERTURA UVA 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3053,"Cobertura UVA Kerry 1,3Kg",PRODUTOS,PEC - ENGRENAGEM,
3056,COCO BRAZIL UP MEDIO 1KG,PRODUTOS,PEC - ENGRENAGEM,
3057,COCO BRAZIL UP MEDIO 5Kg,PRODUTOS,PEC - ENGRENAGEM,
3058,COCO COCO E CIA RALADO INTEGRAL MEDIO 1KG,PRODUTOS,PEC - ENGRENAGEM,
3059,COCO COMP. BRAZIL UP FLOCOS 1Kg,PRODUTOS,PEC - ENGRENAGEM,
3060,COCO CRD COMPOSTO FINO 1Kg,PRODUTOS,PEC - ENGRENAGEM,
3061,COCO DICOCO MEDIO 5KG,PRODUTOS,PEC - ENGRENAGEM,
3062,COCO E CIA FLOCADO NTEGRAL MEDIO 5KG,PRODUTOS,PEC - ENGRENAGEM,
3063,COCO FLOCADO COMPOSTO 1KG,PRODUTOS,PROD - FRUTAS/GRAOS,
3064,COCO FLOCADO COMPOSTO 200G,PRODUTOS,PROD - FRUTAS/GRAOS,
3065,COCO FLOCADO COMPOSTO FLYCOCO 200G,PRODUTOS,PROD - FRUTAS/GRAOS,
3066,COCO FLOCADO FLYCOCO INTEGRAL 1KG,PRODUTOS,PROD - FRUTAS/GRAOS,7898994017004.0
3067,COCO FLOCADO FRESCOCO 5KG,PRODUTOS,PEC - ENGRENAGEM,7898318200075.0
3068,COCO FLOCADO NUTRICOCO 10KG,PRODUTOS,PROD - FRUTAS/GRAOS,7898944104358.0
3069,COCO FLOCOS DIKOKO SECO INTEGRAL 1KG,PRODUTOS,PROD - FRUTAS/GRAOS,7898914221429.0
3070,COCO FLOCOS DO VALE UMD ADOC 1Kg,PRODUTOS,PEC - ENGRENAGEM,
